TransactionId,CaseNo,TransactionType,TransactionMethodId,TransactionDate,Amount,TransactionStatus,OriginalPaymentReference,PaymentReference
100000000000000001,1728394056172839,Appeal Fee,Any,2026-09-01T09:15:00Z,120.00,Success,,RC-2026-0001
100000000000000002,2839405167283940,Receipt,Bank Transfer,2026-09-02T10:30:00Z,120.00,Success,RC-2026-0001,RC-2026-0002
100000000000000003,3940516278394051,Appeal Fee Adjustment,Any,2026-09-03T11:45:00Z,-20.00,Success,RC-2026-0001,RC-2026-0003
100000000000000004,4051627389405162,Fee Balance Due,Bank Transfer,2026-09-04T13:00:00Z,45.50,Pending,,RC-2026-0004
100000000000000005,5162738490516273,Receipt,Any,2026-09-05T14:15:00Z,45.50,Success,RC-2026-0004,RC-2026-0005
100000000000000006,6273849501627384,Appeal Fee,Bank Transfer,2026-09-06T15:30:00Z,80.00,Success,,RC-2026-0006
100000000000000007,7384950612738495,Receipt,Bank Transfer,2026-09-07T16:45:00Z,80.00,Success,RC-2026-0006,RC-2026-0007
100000000000000008,8495061723849506,Appeal Fee Adjustment,Any,2026-09-08T09:00:00Z,-10.00,Success,RC-2026-0006,RC-2026-0008
100000000000000009,9506172834950617,Fee Balance Due,Any,2026-09-09T10:15:00Z,32.75,Pending,,RC-2026-0009
100000000000000010,1617283945061728,Receipt,Bank Transfer,2026-09-10T11:30:00Z,32.75,Success,RC-2026-0009,RC-2026-0010
